"COUNTY_NAME","ENTITY_CD","ENTITY_NAME","DISTRICT_NAME","PROF_LEVEL","PER_FREE_LUNCH","PER_REDUCED_LUNCH","PER_LEP","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_ECDIS","PER_SUSPENSIONS","MEAN_CLASS_SIZE","MEAN_ENROLL","PER_NOT_HQ","STUD_TEACH_RATIO","PER_HS_DEGREE","MEAN_INC","EXP_PER_ST","MEAN_TEACH_SCORE","CHARTER","VIOL_CRIME_PER_CITIZEN","PROP_CRIME_PER_CITIZEN","TOTAL_DIST_POP"
"NASSAU","280504060004","PARKWAY SCHOOL","PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT","Proficient",2.333,1,0.667,0,0.333,4.667,14.667,79.667,1,8.333,50.333,3.333,0,22,351,0,14.23,30.602,131624.63,379618.234,93.778,0,0.00141715697438313,0.0106720145400836,28613
"QUEENS","342600010203","PS 203 OAKLAND GARDENS","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",29.333,10.333,10.333,0,2,8.333,71.333,15.667,2,13,48,39.333,0,30,712.333,3,15.156,30.369,87851.051,36513609.265,89.732,0,0.00464932850969108,0.0126289441911748,8461961
"SUFFOLK","580404030011","BELLEROSE ELEMENTARY SCHOOL","NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT","Proficient",4.333,1,0,0,0,6.667,1.667,89.667,1.667,9,46.667,6.333,0,20,346.667,0,13,22.4,129090,446653.846,93.292,0,0.00122526082516204,0.0147749527744588,35382
"KINGS","331900860993","ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL",NA,"Proficient",71,8,3,2.333,71.667,25.333,0.667,0,0.667,12.667,54,89.333,5,30,184.667,39.333,8.147,27.55,197670.609,112684.116,85.942,1,0.00627668927886969,0.014459509017006,5172234.85455972
"KINGS","332200010195","PS 195 MANHATTAN BEACH","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Proficient",22.667,7,11.333,0,3,2.667,3.333,91,0,10.333,47.333,30.333,0,27,364.333,3,15.394,28.035,117274.412,71390286.368,87.042,0,0.00627668927886969,0.014459509017006,8461961
"NASSAU","280518030002","EASTPLAIN SCHOOL","PLAINEDGE UNION FREE SCHOOL DISTRICT","Proficient",7.333,2.667,1.333,0,0,4,2,93.667,0,2.667,50,9.333,0.5,19.333,279.333,0,10.608,19.973,130408.59,281727.924,90.6,0,0.00141715697438313,0.0106720145400836,19036
"SUFFOLK","580302080001","WAINSCOTT SCHOOL","WAINSCOTT COMMON SCHOOL DISTRICT","Proficient",25.667,0,29.667,0,0,53.667,5.667,33,8,14,65.333,30.333,0,6,12.333,0,1.85,37.489,117632.375,189243.243,91.293,0,0.00122526082516204,0.0147749527744588,600
"KINGS","331500861023","SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL",NA,"Proficient",41.667,5.667,3.667,0.333,35,27.667,5.667,28.333,3.333,13.667,49.333,35.667,13,25.667,252.333,0.333,11.47,15.714,103228.892,82466.314,79.832,1,0.00627668927886969,0.014459509017006,3760380.95969504
"KINGS","331400010031","PS 31 SAMUEL F DUPONT","NEW YORK CITY GEOGRAPHIC DISTRICT #14","Proficient",65,9,7.333,1,5,47,8.667,38,0.667,17.667,50,74,0,26,424.667,1.667,10.983,27.581,116451.751,61247710.361,86.368,0,0.00627668927886969,0.014459509017006,8461961
"NASSAU","280402030001","NORTH SIDE SCHOOL","EAST WILLISTON UNION FREE SCHOOL DISTRICT","Proficient",3,0.333,4.333,0,1,6,22.667,68,2.333,6.667,46,4.667,0.333,21.333,468.333,0,10.255,27.9,218261,111877.58,95.148,0,0.00141715697438313,0.0106720145400836,8865
"FULTON","170600010006","JOHNSTOWN SENIOR HIGH SCHOOL","JOHNSTOWN CITY SCHOOL DISTRICT","Proficient",34.333,9.333,0,0,2,2.333,1.333,93,0.667,12.333,49,45.667,6.667,18.472,596.333,0,12.779,44.346,125780.833,47981.554,96.225,0,0.00189697405013168,0.0222995745621305,11230
"KINGS","332200010134","PS 134","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Proficient",71.667,1,22.333,0.333,12.667,16,38.333,32.667,0,16.667,52.667,73,0,25.667,439,0,10.707,32.105,127084.047,59247974.943,87,0,0.00627668927886969,0.014459509017006,8461961
"WESTCHESTER","660102060001","BEDFORD VILLAGE ELEMENTARY SCHOOL","BEDFORD CENTRAL SCHOOL DISTRICT","Proficient",2.667,0.667,1,0,1,7.333,5,83.667,3,10.333,46.667,3.333,0.333,19.667,274,0,10.148,26.333,172001.367,461343.066,91.273,0,0.00217533730418714,0.0107248132278337,29407
"KINGS","332000010310","SCHOOL FOR FUTURE LEADERS (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",91,5.333,63,0,1,9,83.667,6.667,0,12.333,46,96.333,0,29,356,3.667,12,40.904,209620.003,73061407.303,91.204,0,0.00627668927886969,0.014459509017006,8461961
"SUFFOLK","580910080001","SAGAPONACK SCHOOL","SAGAPONACK COMMON SCHOOL DISTRICT","Proficient",0,0,6,0,8.667,11.667,3,76.667,0,3,41.333,0,0,9,10.333,0,2.385,30.856,149087.132,170225.806,93.437,0,0.00122526082516204,0.0147749527744588,216
"NASSAU","280405020003","HILLSIDE GRADE SCHOOL","NEW HYDE PARK-GARDEN CITY PARK UNION FREE SCHOOL DISTRICT","Proficient",12.667,5.333,6.333,0,0,13.667,56,27,2.667,8.333,50.667,19.667,0,22,443,0,13.29,23.867,48480.963,75977.427,94.638,0,0.00141715697438313,0.0106720145400836,800966.465197719
"QUEENS","342600010094","PS 94 DAVID D PORTER","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",30.667,10,7,0.667,5.333,19.333,46,27.333,1.333,15.667,46.667,40.333,0,27,320.667,5.667,12.827,4.625,121308.448,81111832.64,87.96,0,0.00464932850969108,0.0126289441911748,8461961
"QUEENS","343000010122","PS 122 MAMIE FAY","NEW YORK CITY GEOGRAPHIC DISTRICT #30","Proficient",48.333,9.667,5.333,0.333,6,22,31,37.667,2.667,11.667,48,57.667,0,29.7,1165,1,15.886,30.151,91386.668,22326060.944,93.5,0,0.00464932850969108,0.0126289441911748,8461961
"QUEENS","342600010098","PS 98 DOUGLASTON SCHOOL (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",16,5.333,2.667,1.667,4,15,27.667,47.667,5,12.333,50,21.667,0,20.667,169.667,0,9.788,29.141,143743.23,153299770.138,92.905,0,0.00464932850969108,0.0126289441911748,8461961
"NASSAU","280407030008","LAKEVILLE ELEMENTARY SCHOOL","GREAT NECK UNION FREE SCHOOL DISTRICT","Proficient",7.333,3.667,5.333,0,2,7.667,59.333,29,2,10.667,48.333,11.667,0,20.333,747,0,10.423,24.9,153606,281104.418,84.59,0,0.00141715697438313,0.0106720145400836,45310
