Geography,Total; Estimate; Total population
"Fayetteville-Manlius Central School District, New York",25089
"Marathon Central School District, New York",4682
"Marcellus Central School District, New York",10374
"Margaretville Central School District, New York",3788
"Marion Central School District, New York",5771
"Marlboro Central School District, New York",12580
"Cheektowaga-Maryvale Union Free School District, New York",18752
"Massapequa Union Free School District, New York",47578
"Massena Central School District, New York",16967
"William Floyd Union Free School District, New York",49528
"Mayfield Central School District, New York",6530
"McGraw Central School District, New York",3473
"Mechanicville City School District, New York",9645
"Medina Central School District, New York",10361
"Menands Union Free School District, New York",3739
"Mexico Central School District, New York",12677
"Middle Country Central School District, New York",64208
"Longwood Central School District, New York",67882
"Middleburgh Central School District, New York",5926
"Middletown City School District, New York",42659
"Milford Central School District, New York",2832
"Millbrook Central School District, New York",7801
"Miller Place Union Free School District, New York",15404
"Mineola Union Free School District, New York",23211
"Minerva Central School District, New York",634
"Minisink Valley Central School District, New York",22406
"Monroe-Woodbury Central School District, New York",37191
"Valley Central School District (Montgomery), New York",27657
"Montauk Union Free School District, New York",3510
"Monticello Central School District, New York",21533
"Moravia Central School District, New York",7357
"Moriah Central School District, New York",4764
"Morris Central School District, New York",2435
"Morristown Central School District, New York",2847
"Morrisville-Eaton Central School District, New York",6326
"Bedford Central School District, New York",29407
"Mount Morris Central School District, New York",5847
"Mount Sinai Union Free School District, New York",12642
"Mount Vernon School District, New York",68217
"Mount Pleasant Central School District, New York",13031
"Nanuet Union Free School District, New York",14006
"Naples Central School District, New York",5131
"Clarkstown Central School District, New York",49698
"New Hartford Central School District, New York",17543
"New Lebanon Central School District, New York",4064
"New Paltz Central School District, New York",19686
"New Rochelle City School District, New York",79299
"New Suffolk Common School District, New York",250
"New York City Department Of Education, New York",8461961
"New York Mills Union Free School District, New York",5426
"Newark Central School District, New York",15056
"Newark Valley Central School District, New York",7311
"Newburgh City School District, New York",66828
"Newcomb Central School District, New York",474
"Newfane Central School District, New York",10363
"Newfield Central School District, New York",5631
"Niagara Falls City School District, New York",49180
"Niagara-Wheatfield Central School District, New York",26801
"Niskayuna Central School District, New York",23579
"North Babylon Union Free School District, New York",29689
"North Collins Central School District, New York",4319
"North Salem Central School District, New York",7416
"North Syracuse Central School District, New York",59809
"North Tonawanda City School District, New York",30935
"Northeastern Clinton Central School District, New York",8741
"Northern Adirondack Central School District, New York",6256
"Northport-East Northport Union Free School District, New York",35382
"Northville Central School District, New York",2788
"Norwich City School District, New York",13131
"Norwood-Norfolk Central School District, New York",6761
"Dalton-Nunda Central School District (Keshequa), New York",5024
"Nyack Union Free School District, New York",24357
"Oakfield-Alabama Central School District, New York",5459
"Fire Island Union Free School District, New York",315
"Oceanside Union Free School District, New York",35487
"Odessa-Montour Central School District, New York",5670
"Ogdensburg City School District, New York",11121
"Olean City School District, New York",15675
"Oneonta City School District, New York",20283
"Onondaga Central School District, New York",6052
"Onteora Central School District, New York",14904
"Orchard Park Central School District, New York",32926
"Oysterponds Union Free School District, New York",1554
"Oriskany Central School District, New York",4658
"Ossining Union Free School District, New York",34768
"Oswego City School District, New York",32360
"Georgetown-South Otselic Central School District, New York",2278
"South Seneca Central School District, New York",6814
"Owego-Apalachin Central School District, New York",13650
"Van Hornesville-Owen D. Young Central School District, New York",1543
"Oxford Academy and Central School District, New York",5174
"Oyster Bay-East Norwich Central School District, New York",12910
"Palmyra-Macedon Central School District, New York",12754
"Panama Central School District, New York",3409
"Parishville-Hopkinton Central School District, New York",3104
"Patchogue-Medford Union Free School District, New York",50880
"Pavilion Central School District, New York",4714
"Pawling Central School District, New York",8739
"Pearl River Union Free School District, New York",15733
"Peekskill City School District, New York",23977
"Pelham Union Free School District, New York",12560
"Penfield Central School District, New York",32181
"Penn Yan Central School District, New York",15386
"Perry Central School District, New York",5923
"Peru Central School District, New York",13072
"Phelps-Clifton Springs Central School District, New York",11238
"Phoenix Central School District, New York",11588
"Pine Bush Central School District, New York",32289
"Pine Plains Central School District, New York",9228
"Pine Valley Central School District (South Dayton), New York",4441
"Piseco Common School District, New York",223
"Pittsford Central School District, New York",34565
"Plainedge Union Free School District, New York",19036
"Plainview-Old Bethpage Central School District, New York",28613
"Plattsburgh City School District, New York",19820
"Pleasantville Union Free School District, New York",8657
"Pocantico Hills Central School District, New York",4663
"Poland Central School District, New York",4140
"Port Byron Central School District, New York",6560
"Port Chester-Rye Union Free School District, New York",32366
"Port Jefferson Union Free School District, New York",7576
"Port Jervis City School District, New York",17406
"Port Washington Union Free School District, New York",31299
"Portville Central School District, New York",4759
"Potsdam Central School District, New York",15543
"Poughkeepsie City School District, New York",30511
"Prattsburgh Central School District, New York",3084
"Pulaski Central School District, New York",5627
"Putnam Central School District, New York",781
"Putnam Valley Central School District, New York",10520
"Queensbury Union Free School District, New York",21897
"Quogue Union Free School District, New York",852
"Randolph Central School District, New York",6379
"Raquette Lake Union Free School District, New York",103
"Ravena-Coeymans-Selkirk Central School District, New York",13939
"Red Creek Central School District, New York",5661
"Red Hook Central School District, New York",13606
"Manchester-Shortsville Central School District, New York",5596
"Remsen Central School District, New York",2789
"Remsenburg-Speonk Union Free School District, New York",1481
"Rensselaer City School District, New York",9435
"Rhinebeck Central School District, New York",9639
"Richfield Springs Central School District, New York",3909
"Blind Brook-Rye Union Free School District, New York",6564
"Ripley Central School District, New York",2132
"Riverhead Central School District, New York",40708
"Rochester City School District, New York",210291
"Rockville Centre Union Free School District, New York",22409
"Rocky Point Union Free School District, New York",18046
"Rome City School District, New York",38441
"Romulus Central School District, New York",5114
"Rondout Valley Central School District, New York",16764
"Roosevelt Union Free School District, New York",18211
"Roscoe Central School District, New York",2158
"Roslyn Union Free School District, New York",18460
"Roxbury Central School District, New York",2540
"Royalton-Hartland Central School District, New York",9068
"Rush-Henrietta Central School District, New York",53105
"Rye City School District, New York",14861
"Rye Neck Union Free School District, New York",8834
"Florida Union Free School District, New York",4627
"Sachem Central School District, New York",81470
"Sag Harbor Union Free School District, New York",6918
"Sagaponack Common School District, New York",216
"Salamanca City School District, New York",7445
"Salem Central School District, New York",3983
"Salmon River Central School District, New York",7476
"Sandy Creek Central School District, New York",5835
"Saranac Lake Central School District, New York",13556
"Saratoga Springs City School District, New York",50245
"Saugerties Central School District, New York",20286
"Sayville Union Free School District, New York",18261
"Scarsdale Union Free School District, New York",18342
"Schalmont Central School District, New York",14046
"Schenectady City School District, New York",65554
"Schodack Central School District, New York",6382
"Schoharie Central School District, New York",6337
"Schroon Lake Central School District, New York",1209
"Schuylerville Central School District, New York",9991
"Scio Central School District, New York",1902
"Scotia-Glenville Central School District, New York",18373
"North Shore Central School District, New York",16976
"Seaford Union Free School District, New York",16960
"Seneca Falls Central School District, New York",9783
"Sharon Springs Central School District, New York",2328
"Shelter Island Union Free School District, New York",2844
"Shenendehowa Central School District, New York",65285
"Sherburne-Earlville Central School District, New York",8970
"Sherman Central School District, New York",2584
"Sherrill City School District, New York",12315
"Shoreham-Wading River Central School District, New York",12881
"Sidney Central School District, New York",7484
"Silver Creek Central School District, New York",6263
"Skaneateles Central School District, New York",8691
"Cheektowaga-Sloan Union Free School District, New York",10837
"Smithtown Central School District, New York",57718
"Sodus Central School District, New York",7290
"Solvay Union Free School District, New York",9699
"Somers Central School District, New York",20202
