GROUP_CODE,GROUP_NAME,ENTITY_CD,ENTITY_NAME
2,County Public Schools,000059000000,SULLIVAN County
2,County Public Schools,000060000000,TIOGA County
2,County Public Schools,000061000000,TOMPKINS County
2,County Public Schools,000062000000,ULSTER County
2,County Public Schools,000063000000,WARREN County
2,County Public Schools,000064000000,WASHINGTON County
2,County Public Schools,000065000000,WAYNE County
2,County Public Schools,000066000000,WESTCHESTER County
2,County Public Schools,000067000000,WYOMING County
2,County Public Schools,000068000000,YATES County
2,County Public Schools,000099000000,NYC Public Schools County
3,Needs Resource Capacity,000000000001,NYC Public Schools
3,Needs Resource Capacity,000000000002,Large Cities
3,Needs Resource Capacity,000000000003,High Need/Resource Urban-Suburban Districts
3,Needs Resource Capacity,000000000004,High Need/Resource Rural Districts
3,Needs Resource Capacity,000000000005,Average Need Districts
3,Needs Resource Capacity,000000000006,Low Need Districts
3,Needs Resource Capacity,000000000007,Charter Schools
5,Public School District,010100010000,ALBANY CITY SCHOOL DISTRICT
5,Public School District,010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT
5,Public School District,010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT
5,Public School District,010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT
5,Public School District,010500010000,COHOES CITY SCHOOL DISTRICT
5,Public School District,010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT
5,Public School District,010615020000,MENANDS UNION FREE SCHOOL DISTRICT
5,Public School District,010623060000,NORTH COLONIE CSD
5,Public School District,010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT
5,Public School District,010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT
5,Public School District,011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,011200010000,WATERVLIET CITY SCHOOL DISTRICT
5,Public School District,020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT
5,Public School District,020601040000,ANDOVER CENTRAL SCHOOL DISTRICT
5,Public School District,020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,020801040000,BELFAST CENTRAL SCHOOL DISTRICT
5,Public School District,021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT
5,Public School District,021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT
5,Public School District,022001040000,FILLMORE CENTRAL SCHOOL DISTRICT
5,Public School District,022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT
5,Public School District,022401040000,SCIO CENTRAL SCHOOL DISTRICT
5,Public School District,022601060000,WELLSVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT
5,Public School District,030101060000,CHENANGO FORKS CENTRAL SCHOOL DISTRICT
5,Public School District,030200010000,BINGHAMTON CITY SCHOOL DISTRICT
5,Public School District,030201080000,SOUTH MOUNTAIN-HICKORY COMN SD AT BI
5,Public School District,030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,030601060000,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,030701060000,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,031101060000,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT
5,Public School District,031301040000,DEPOSIT CENTRAL SCHOOL DISTRICT
5,Public School District,031401060000,WHITNEY POINT CENTRAL SCHOOL DISTRICT
5,Public School District,031501060000,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT
5,Public School District,031502060000,JOHNSON CITY CENTRAL SCHOOL DISTRICT
5,Public School District,031601060000,VESTAL CENTRAL SCHOOL DISTRICT
5,Public School District,031701060000,WINDSOR CENTRAL SCHOOL DISTRICT
5,Public School District,040204040000,WEST VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT
5,Public School District,040901040000,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,041101040000,FRANKLINVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,041401040000,HINSDALE CENTRAL SCHOOL DISTRICT
5,Public School District,042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,042400010000,OLEAN CITY SCHOOL DISTRICT
5,Public School District,042801060000,GOWANDA CENTRAL SCHOOL DISTRICT
5,Public School District,042901040000,PORTVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,043001040000,RANDOLPH CENTRAL SCHOOL DISTRICT
5,Public School District,043011020000,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT
5,Public School District,043200050000,SALAMANCA CITY SCHOOL DISTRICT
5,Public School District,043501060000,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT
5,Public School District,050100010000,AUBURN CITY SCHOOL DISTRICT
5,Public School District,050301040000,WEEDSPORT CENTRAL SCHOOL DISTRICT
5,Public School District,050401040000,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT
5,Public School District,050701040000,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT
5,Public School District,051101040000,PORT BYRON CENTRAL SCHOOL DISTRICT
5,Public School District,051301040000,MORAVIA CENTRAL SCHOOL DISTRICT
5,Public School District,051901040000,UNION SPRINGS CENTRAL SCHOOL DISTRICT
